|neg|pos
2|[]|['[', 'knowledgeable', 'clear']
5|[]|['clear', 'excellent', 'awesome', 'clearly', 'difficult', 'helpful']
7|['sadly', 'big']|['available', 'wonderful', 'great', 'incredibly', 'open', 'interesting']
9|[]|['extremely', 'encouraging', 'little', 'facilitating', 'nice', 'huge']
11|"['difficult', 'follow', 'hard', 'clearly', 'often', ""'Weakness""]"|['knowledgeable', 'never', 'clearly', 'rather', 'also', 'hard']
12|['much', 'clear', 'little', 'whatsoever', 'interesting', 'half']|['knowledgeable', 'well', 'really', 'always', 'funny', 'never']
15|['new', 'genuine', 'texts']|['good', 'extremely', 'successful', 'contribute', 'significant', 'also']
17|['political', 'new', 'also', 'often', 'summary', 'hard']|['great', 'little', 'really', 'clear', 'also', 'clearly']
18|['really', 'sometimes', 'much', 'clear', 'good', 'always']|['really', 'good', 'much', 'knowledgeable', 'also', 'great']
19|['sometimes', 'really', 'think', '[', 'back']|"['great', 'knowledgeable', 'pretty', 'enthusiastic', ""'Clearly"", 'smart']"
21|['sometimes', 'whole', 'awkward', 'unclear', 'many', 'disorganized']|['knowledgeable', 'interested', 'approachable', 'interesting', 'fully', 'together']
23|['sometimes', 'African', 'well', 'somewhat', 'sidetracked', 'hard']|['little', 'certain', 'historical', 'knowledgeable', 'sometimes', 'fewer']
24|['new', 'upset', 'times', 'tho', 'much', 'independent']|['great', 'well', 'African', 'overall', 'clearly', 'historical']
25|['hard', 'outline', 'never', 'really', 'fast', '[']|['interesting', 'always', 'knowledgeable', 'enthusiastic', 'well', 'critically']
28|['facilitating', 'anyway', 'confused', 'nervous', 'great', 'often']|['clear', 'good', 'great', 'answer', 'knowledgeable', 'excellent']
29|['didnt', 'big', 'difficult', 'incredibly', 'largely', '[']|['clearly', 'late', 'incredibly', 'texts', 'many', 'new']
30|['first', 'often', 'difficult', 'clerical', 'available', 'little']|['well', 'extremely', 'knowledgeable', 'great', 'really', 'clear']
31|['write', 'difficult', 'hilarious', 'faults']|['great', 'knowledgeable', 'appropriate', 'approachable', 'good', 'well']
32|['good', '[', 'phenomenally']|['good', 'interested', 'able', 'interesting', 'understanding', 'fully']
33|['hard', 'much']|['really', 'also', 'knowledgeable', 'sometimes', 'interesting', 'possibly']
34|['bad', 'hard', 'worst', 'adequate', 'high', 'best']|['really', 'also', 'good', 'knowledgeable', 'well', 'high']
35|[]|['interesting', 'consistently', 'factheavy']
36|['often', 'syllabus', 'incorrect', 'contradictory', 'difficult', 'names']|['subject', 'knowledgeable', 'interesting', 'African', 'expert', 'intelligent']
37|[]|['different', 'critical', 'insight', 'knowledgeable', '[', 'open']
38|['overall', 'afraid', 'sometimes', 'topic', 'liberal', 'content']|['really', 'well', 'knowledgeable', 'controversial', 'interesting', 'better']
39|"['wasnt', 'speak', ""'Awful"", '[', 'clear']"|['really', 'barely', 'sometimes', 'pleasant', 'little', 'also']
40|['much', 'lecture', 'redundant', 'extremely', 'actually', 'wasnt']|['knowledgeable', 'subject', 'great', 'outside', 'energetic', 'material']
42|[]|['enthusiastic', 'great', 'helpful', '[']
43|['accessible.He', 'consistently', 'greatly', 'easily', 'clear', 'final']|['interesting', 'often', 'subject', 'incredibly', 'super', 'timely']
44|[]|['good', 'better', 'inadvertently', 'different', 'objectives', 'often']
45|['really', 'difficult', 'partly', 'sometimes', 'uncomfortable', 'also']|['great', 'really', 'also', 'enthusiastic', 'knowledgeable', 'African']
46|[]|['also', 'great', 'negative', 'fair', 'reasonable', 'flexible']
48|['key', '[', 'ramble']|['knowledgeable', 'extremely', 'student', 'always', 'subject', 'interesting']
51|['often', 'unclear', 'also', 'follow', 'generally', 'badly']|['friendly', 'really', 'deeply', 'interesting', 'new', 'anyway']
53|['always', 'back', 'critical', 'Maybe', 'enough', 'especially']|['able', 'knowledgeable', 'interesting', 'good', 'excellent', 'thoughtful']
54|[]|['sometimes', 'nice', 'also', 'interesting', 'prepared', 'clearly']
55|['often', 'wrong', 'determine', 'clear', 'experienced']|['good', 'clear', 'always', 'great', 'difficult', 'approachable']
56|['[']|['also', 'good', 'great', 'subject', 'extremely', 'even']
57|['already']|['didnt', 'always', 'better', 'grasp', 'first', 'prepared']
60|['much', 'sometimes', 'follow', 'better', 'strange', '[']|['always', 'usually', 'good', 'feat', 'much', 'pretty']
71|['thorough', 'difficult', '[']|['texts', 'material', 'literary', 'relaxed', 'great', 'also']
78|['sometimes', 'little', 'convey', 'detailed', 'on.', 'quickly']|['knowledgeable', 'also', 'well', 'good', 'little', 'small']
79|['sometimes', 'sick', 'huge', 'uncomfortable', 'terrible', 'wasnt']|['really', 'also', 'nice', 'good', 'incredibly', 'sometimes']
80|['much', 'huge', 'downside', 'wasnt', 'highly', 'really']|['enthusiastic', 'interesting', 'great', 'wonderful', 'extremely', 'knowledgeable']
83|['real', 'consistently', 'often', 'past', 'difficult', 'sometimes']|['knowledgeable', 'really', 'interesting', 'American', 'extremely', 'sometimes']
84|['cant', 'white', 'often', 'appropriately', 'dull', 'funny']|['great', 'clear', 'little', 'always', 'good', 'really']
85|['enough', '[', 'instructor', 'far']|['enthusiastic', 'really', 'extremely', 'energetic', 'definitely', 'fantastic']
88|['complete', 'bunch', 'background', 'difficult', 'somewhat', 'softspoken']|['great', 'really', 'ever', 'less', 'art', 'hilarious']
92|"['real', 'really', 'back', 'difficult', 'great', ""'Only""]"|['great', 'well', 'texts', 'also', 'sure', 'enthusiastic']
93|['great', 'better', 'leading', 'leaderhis', 'much', 'however']|['basically', 'matter', '[', 'smart']
95|"['different', 'cultural', ""'Only"", 'informed', 'huge', 'extremely']"|['great', 'extremely', 'knowledgeable', 'also', 'nice', 'good']
96|['hard', 'often', 'clearly', 'knowledgeable', 'excited', 'difficult']|['knowledgeable', 'clearly', 'well', 'good', 'great', 'really']
97|"['sometimes', 'okay', 'miss', 'twice', 'earlier', ""'Only""]"|['great', 'good', 'American', 'really', 'always', 'best']
