coursenumber,career,condition,daytime,description,instructor,location,name,section,sectionid,subsections,type
AANL10103,Graduate,Open,Tue Thu : 09:00 AM-10:20 AM,"This course is the third in a three-quarter sequence. We will translate and analyze Hittite texts from a number of different genres to give you a further sampling of the Hittite texts still preserved. In addition to reinforcing and developing your grasp of Hittite grammar and the cuneiform writing system, we will also consider the various literary features and structures of the texts to begin to get a sense of Hittite poetic and narrative style.",Robert Marineau,TBA,Elementary Hittite-3,1,[41145],[],LEC
AANL20128,Graduate,Open,Tue Thu : 09:00 AM-10:20 AM,The focus of this course is the close reading and analysis of selected Hittite texts; specific texts and topics may vary from year to year.,Petra Goedegebuure,Oriental Institute 316,Advanced Hittite: Hittite Wisdom Literature,1,[54870],[],LEC
AANL20302,Graduate,Open,Tue Thu : 01:30 PM-02:50 PM,,Petra Goedegebuure,Oriental Institute 316,Luwian-2: Second Millennium Texts,1,[54868],[],LEC
AASR42410,Graduate,Closed,Tue : 01:00 PM-03:50 PM,"This course examines approaches to the material study of religion. What are the gains of studying religion through bodily practices and sensory perceptions? How have various scholarly disciplines examined ritual art, objects, things and the organization of space and time? What analytic directions for understanding the social life of religion has a materialist orientation enabled? The course will include readings on mediation, technology and public culture.",Angie Heo,Swift Hall 201,Material Religion,1,[41152],[],SEM
AASR42907,Graduate,Closed,Mon Wed : 10:30 AM-11:50 AM,,Christian Wedemeyer,Swift Hall 403,Contemporary Theories of Religion,1,[41397],[],SEM
AASR43005,Graduate,Closed,Thu : 11:00 AM-01:50 PM,"One of the dominant topoi in twentieth-century social science was what Max Weber famously called the ""disenchantment of the world,"" the idea that with industrialization, the entrenchment of capitalism, the dominance of the modern bureaucratic state, and the rise of modern science, religion and ""magicality"" would gradually wither away. This course examines such arguments in relation to the pervasive evidence that magicality persists around precisely those sites most intimately associated with modernity's rationality and progress: the market, science and technology, and the state. Readings will be from anthropology, history, religious studies, and social theory.",Alireza Doostdar,Swift Hall 200,Is Modernity Disenchanted,1,[42576],[],SEM
AASR50207,Graduate,Open,Tue : 04:00 PM-06:50 PM,,Angie Heo,Swift Hall 201,Christianity and Korea,1,[41158],[],SEM
AASR54000,Graduate,Open,Tue : 11:00 AM-01:50 PM,,Alireza Doostdar,Swift Hall 400,Ethnographic Methods,1,[42586],[],SEM
ADMN20100,Undergraduate,Open,TBA,,Staff,TBA,Teaching in the Biological Sciences Collegiate Division,1,[44214],[],TEA
ADMN20200,Undergraduate,Open,TBA,,Staff,TBA,GAI Teaching Appointment in HCD,1,[44216],[],TEA
ADMN20300,Undergraduate,Open,TBA,,Staff,TBA,Teaching in the Physical Sciences Collegiate Division,1,[44215],[],TEA
ADMN20400,Undergraduate,Open,TBA,,Staff,Arranged ARR,GAI Teaching Appointment in SSCD,1,[40660],[],TEA
ADMN30100,Graduate,Open,TBA,,Staff,TBA,Teaching in the Biological Sciences Division,1,[44218],[],TEA
ADMN30200,Graduate,Open,TBA,,Staff,TBA,GAI Teaching Appointment in Humanities Division,1,[44219],[],TEA
ADMN30300,Graduate,Open,TBA,,Staff,TBA,Teaching in the Physical Sciences Division,1,[44220],[],TEA
ADMN30400,Graduate,Open,TBA,,Staff,TBA,GAI Teaching Appointment in Social Sciences Division,1,[44221],[],TEA
ADMN30600,Graduate,Open,TBA,,Staff,TBA,GAI Teaching Appointment in Divinity School,1,[44222],[],TEA
ADMN30601,Graduate,Open,TBA,,Staff,TBA,GAI Teaching Appointment in Divinity School Off-Campus,1,[44223],[],TEA
AKKD10103,Graduate,Open,Mon Wed Fri : 10:30 AM-11:20 AM,Selected readings of Akkadian texts in the Standard Babylonian dialect of the 1st millennium BC.,Susanne Paulus,Oriental Institute 210,Elementary Akkadian-3,1,[41148],[],LEC
AKKD30355,Graduate,Open,Tue Thu : 01:30 PM-02:50 PM,"This course examines the features of Assyrian grammar with systematic readings in works by M. Luukko and J. Hameen-Anttila. Students analyze and translate Assyrian texts from a variety of genres including royal inscriptions, letters and reports, and literary narrative.",John Wee,TBA,Assyrian Dialect,1,[41150],[],SEM
AMER15707,Undergraduate,Open,Tue Thu : 01:30 PM-02:50 PM,"A survey of major figures and developments in visual arts and related fields since roughly 1920. Chronological in progression, this course affords students a wide view of consequential developments in and beyond major art centers and occurring across mediums and national borders. Themes to be considered will include American metabolizations of cubism and Dada, as well as more homegrown manners including regionalism, abstract expressionism, color field, happenings, neo-Dada, pop, op Art, minimal art, process, performance, Situationism, conceptual art, experimental film and video, earth and land art, neo-geo, and others.",Darby English,Cochrane-Woods Art Ctr 157,American Art since the Great War,1,[43860],"[{'sectionname': 'Section 1D01 [43861] - DIS Open', 'daytime': 'Wed : 01:30 PM-02:20 PM', 'instructor': 'Staff'}]",LEC
AMER27705,Undergraduate,Open,Tue Thu : 12:00 PM-01:20 PM,"This course surveys the history of African Americans in Chicago, from before the twentieth century to the near present. In referring to that history, we treat a variety of themes, including migration and its impact, the origins and effects of class stratification, the relation of culture and cultural endeavor to collective consciousness, the rise of institutionalized religions, facts and fictions of political empowerment, and the correspondence of Black lives and living to indices of city wellness (services, schools, safety, general civic feeling). This is a history class that situates itself within a robust interdisciplinary conversation. Students can expect to engage works of autobiography and poetry, sociology, documentary photography, and political science as well as more straightforward historical analysis. By the end of the class, students should have grounding in Black Chicago's history and an appreciation of how this history outlines and anticipates Black life and racial politics in the modern United States.",Adam Green,TBA,"Introduction to Black Chicago, 1893-2010",1,[42941],[],LEC
