SOSC 19017|9519|South Asian Civilizations in India-2|SOSC
PHIL 26005|8053|Early Modern Philosophy of Science|PHIL
CATA 26212|1396|Women's Narratives:  Cinema & Lit. in Contemporary Catalonia|CATA
CRPC 27500|2550|Language & Globalization|CRPC
ARTV 26702|971|History of Video Art|ARTV
EALC 24611|2858|Cities in Sinophone Cinemas|EALC
CMLT 25401|1914|Hist Coll: Varieties of Intellectual History|CMLT
CMLT 23301|1864|Balkan Folklore|CMLT
SLAV 26900|9309|Narratives Suspense in European/Russian Lit/Film|SLAV
FNDL 21902|3944|Hamlet and Macbeth|FNDL
HIST 29646|5730|History Colloquium:  The Business of Entertainment|HIST
ENGL 12506|3177|AdvFict: Research for Writers|ENGL
LACS 28601|6702|Political Parties and Democracy|LACS
LACS 21901|6569|Rights of the Living/Rites for the Dead|LACS
ANTH 21259|174|Intensive Study:  Urban China|ANTH
PBPL 25750|7751|Writing about Chicago|PBPL
GNDR 27604|4501|Religion and Gender|GNDR
RUSS 23900|9046|Nabokov:  Lolita|RUSS
SOSC 26100|9624|Intro to Latin American  Civ I|SOSC
PHIL 23415|7988|The Being of Human Beings: Heidegger's Letter on Humanism|PHIL
ANTH 20535|126|The Social Life of Clean Energy|ANTH
SALC 23100|9146|Liberalism & Feminisn in India: A Historical Survey|SALC
HIPS 17402|4901|Sci/Cult/Soc-2: History of Medicine 1|HIPS
HIST 22303|5241|Early Modern Dynastic Europe|HIST
SOSC 19016|9518|South Asian Civilizations in India-1|SOSC
LAWS 75101|6808|Decisionmaking: Principles and Foundations|LAWS
MAPH 34280|7146|About the Size of It: Aesthetics and History of Scale|MAPH
ENGL 20401|3362|Limit Cases In Brit Rom Novels|ENGL
"ANTH 37110|468|Language, Inequality and Symbolic Power|ANTH"
"LLSO 21502|7012|Codes, Cultures, & Media|LLSO"
ENGL 21903|3394|The Victorian Novel|ENGL
BIOS 26402|1285|Computational Biology|BIOS
FNDL 22002|3950|Pirandello and Pirandellism|FNDL
HUDV 26202|5944|Health & Heal Across Cultures|HUDV
PERS 30337|7836|Persian Lyric Poetry-1:History of the Ghazal|PERS
NEHC 20069|7512|Near East Peopl/Cult: Women Mod Mid East|NEHC
GEOS 23205|4340|Introductory Glaciology|GEOS
PHYS 15400|8147|Modern Physics|PHYS
GRMN 24116|4764|Acrobatics of Reading: Kafka's Short Prose|GRMN
JWSC 20300|6418|Elementary Yiddish for Beginners-I|JWSC
ITAL 28212|6346|Machiavelli's Prince Between Politics and Rhetoric|ITAL
HIST 27107|5575|Colloq: Shoreland Hall|HIST
ENGL 23409|3453|Introduction to Narrative Theory|ENGL
RLST 27600|8953|The Art Of Ancestral Worship|RLST
"HIST 22103|5222|Europe and the Habsburg, 1500-1800|HIST"
PLSC 28601|8486|Political Parties and Democracy|PLSC
LLSO 26601|7073|Sci & Relig in Am Legal Hist|LLSO
ISHU 27311|6227|Beginning Screenwriting|ISHU
SALC 29500|9182|India in World History:  Eighteenth to Twentieth Centuries|SALC
HIST 36005|5758|Colloq: Sources for the Study of Islamic History|HIST
ANTH 21417|213|Practice of Anthro:  Secularism|ANTH
