AANL101031[41144]|Undergraduate|Open|AANL10103|Tue Thu : 09:00 AM-10:20 AM|This course is the third in a three-quarter sequence. We will translate and analyze Hittite texts from a number of different genres to give you a further sampling of the Hittite texts still preserved. In addition to reinforcing and developing your grasp of Hittite grammar and the cuneiform writing system, we will also consider the various literary features and structures of the texts to begin to get a sense of Hittite poetic and narrative style.|Robert Marineau|Cobb Hall 205|Elementary Hittite-3|1|[41144]|[]|LEC
AANL101031[41145]|Graduate|Open|AANL10103|Tue Thu : 09:00 AM-10:20 AM|This course is the third in a three-quarter sequence. We will translate and analyze Hittite texts from a number of different genres to give you a further sampling of the Hittite texts still preserved. In addition to reinforcing and developing your grasp of Hittite grammar and the cuneiform writing system, we will also consider the various literary features and structures of the texts to begin to get a sense of Hittite poetic and narrative style.|Robert Marineau|Cobb Hall 205|Elementary Hittite-3|1|[41145]|[]|LEC
AANL201281[54870]|Graduate|Open|AANL20128|Tue Thu : 09:00 AM-10:20 AM|The focus of this course is the close reading and analysis of selected Hittite texts; specific texts and topics may vary from year to year.|Petra Goedegebuure|Oriental Institute 316|Advanced Hittite: Hittite Wisdom Literature|1|[54870]|[]|LEC
AANL203021[54868]|Graduate|Open|AANL20302|Tue Thu : 01:30 PM-02:50 PM|This course focuses on the Hieroglyphic Luwian inscriptions of the second millennium BC. Since Hieroglyphic Luwian I (AANL 20301) is required this course will not offer a grammatical overview but start with the texts immediately.|Petra Goedegebuure|Oriental Institute 316|Luwian-2: Second Millennium Texts|1|[54868]|[]|LEC
AASR424101[41152]|Graduate|Open|AASR42410|Tue : 01:00 PM-03:50 PM|This course examines approaches to the material study of religion. What are the gains of studying religion through bodily practices and sensory perceptions? How have various scholarly disciplines examined ritual art, objects, things and the organization of space and time? What analytic directions for understanding the social life of religion has a materialist orientation enabled? The course will include readings on mediation, technology and public culture.|Angie Heo|Swift Hall 201|Material Religion|1|[41152]|[]|SEM
AASR429071[41397]|Graduate|Open|AASR42907|Mon Wed : 10:30 AM-11:50 AM||Christian Wedemeyer|Swift Hall 403|Contemporary Theories of Religion|1|[41397]|[]|SEM
AASR430051[42576]|Graduate|Closed|AASR43005|Thu : 11:00 AM-01:50 PM|"One of the dominant topoi in twentieth-century social science was what Max Weber famously called the ""disenchantment of the world,"" the idea that with industrialization, the entrenchment of capitalism, the dominance of the modern bureaucratic state, and the rise of modern science, religion and ""magicality"" would gradually wither away. This course examines such arguments in relation to the pervasive evidence that magicality persists around precisely those sites most intimately associated with modernity's rationality and progress: the market, science and technology, and the state. Readings will be from anthropology, history, religious studies, and social theory."|Alireza Doostdar|Swift Hall 200|Is Modernity Disenchanted|1|[42576]|[]|SEM
AASR502071[41158]|Graduate|Open|AASR50207|Tue : 04:00 PM-06:50 PM|Selected readings on the topics pertaining to the joint study of Christianity and of Korea.|Angie Heo|Swift Hall 201|Christianity and Korea|1|[41158]|[]|SEM
AASR540001[42586]|Graduate|Open|AASR54000|Tue : 10:00 AM-12:50 PM||Alireza Doostdar|Swift Hall MEM LIB|Ethnographic Methods|1|[42586]|[]|SEM
ADMN201001[44214]|Undergraduate|Open|ADMN20100|TBA||Staff|TBA|Teaching in the Biological Sciences Collegiate Division|1|[44214]|[]|TEA
ADMN202001[44216]|Undergraduate|Open|ADMN20200|TBA||Staff|TBA|GAI Teaching Appointment in HCD|1|[44216]|[]|TEA
ADMN203001[44215]|Undergraduate|Open|ADMN20300|TBA||Staff|TBA|Teaching in the Physical Sciences Collegiate Division|1|[44215]|[]|TEA
ADMN204001[40660]|Undergraduate|Open|ADMN20400|TBA||Staff|Arranged ARR|GAI Teaching Appointment in SSCD|1|[40660]|[]|TEA
ADMN301001[44218]|Graduate|Open|ADMN30100|TBA||Staff|TBA|Teaching in the Biological Sciences Division|1|[44218]|[]|TEA
ADMN302001[44219]|Graduate|Open|ADMN30200|TBA||Staff|TBA|GAI Teaching Appointment in Humanities Division|1|[44219]|[]|TEA
ADMN303001[44220]|Graduate|Open|ADMN30300|TBA||Staff|TBA|Teaching in the Physical Sciences Division|1|[44220]|[]|TEA
ADMN304001[44221]|Graduate|Open|ADMN30400|TBA||Staff|TBA|GAI Teaching Appointment in Social Sciences Division|1|[44221]|[]|TEA
ADMN306001[44222]|Graduate|Open|ADMN30600|TBA||Staff|TBA|GAI Teaching Appointment in Divinity School|1|[44222]|[]|TEA
ADMN306011[44223]|Graduate|Open|ADMN30601|TBA||Staff|TBA|GAI Teaching Appointment in Divinity School Off-Campus|1|[44223]|[]|TEA
AKKD101031[41147]|Undergraduate|Open|AKKD10103|Mon Wed Fri : 10:30 AM-11:20 AM|Selected readings of Akkadian texts in the Standard Babylonian dialect of the 1st millennium BC.|Susanne Paulus|Oriental Institute 210|Elementary Akkadian-3|1|[41147]|[]|LEC
AKKD101031[41148]|Graduate|Open|AKKD10103|Mon Wed Fri : 10:30 AM-11:20 AM|Selected readings of Akkadian texts in the Standard Babylonian dialect of the 1st millennium BC.|Susanne Paulus|Oriental Institute 210|Elementary Akkadian-3|1|[41148]|[]|LEC
